gameid,genres
314160,['Simulation']
696220,"['Action', 'Indie', 'Early Access']"
236150,"['Action', 'RPG', 'Simulation']"
364390,"['Adventure', 'Indie']"
545690,"['Casual', 'Indie', 'Simulation']"
228180,"['Audio Production', 'Education', 'Software Training', 'Utilities', 'Video Production', 'Web Publishing']"
449960,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
1506980,"['Adventure', 'Casual', 'Indie', 'RPG']"
1328670,"['Action', 'RPG']"
72850,['RPG']
420530,"['Adventure', 'Casual', 'Indie']"
200710,"['Action', 'Adventure', 'Indie', 'RPG']"
3480,['Casual']
972660,"['Adventure', 'Indie', 'Simulation']"
1330470,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Sports']"
219990,"['Action', 'Adventure', 'Indie', 'RPG']"
15700,['Adventure']
301910,['Action']
1634150,"['Adventure', 'Casual', 'Indie']"
1506830,"['Simulation', 'Sports']"
45740,"['Action', 'Adventure']"
824270,"['Action', 'Indie', 'Simulation']"
571530,"['Action', 'RPG']"
260750,"['Adventure', 'Casual']"
924970,['Action']
1281590,['Adventure']
1015770,"['Indie', 'RPG']"
420110,"['Casual', 'Indie']"
939600,"['Casual', 'Indie']"
209190,"['Action', 'Indie']"
357070,"['Action', 'Indie']"
805550,"['Racing', 'Simulation', 'Sports']"
342580,"['Casual', 'Strategy']"
881690,"['Action', 'Indie']"
1018830,"['Indie', 'Strategy']"
863590,"['Action', 'Adventure', 'Indie', 'RPG']"
749540,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']"
1105670,"['Action', 'Indie', 'RPG', 'Strategy']"
9420,['Strategy']
628200,"['Adventure', 'Indie', 'Simulation', 'Strategy']"
1377360,"['Adventure', 'Casual', 'Indie', 'RPG']"
20920,['RPG']
1054510,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']"
366440,"['Action', 'RPG', 'Strategy']"
1229490,"['Action', 'Indie', 'Early Access']"
682530,"['Indie', 'Strategy']"
934780,"['Action', 'Adventure', 'Indie']"
71250,[]
1238000,"['Action', 'RPG']"
33520,"['Simulation', 'Strategy']"
343710,"['Adventure', 'Indie']"
599460,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']"
388080,"['Action', 'Utilities']"
1330660,['Simulation']
1218210,"['Adventure', 'Indie', 'RPG', 'Strategy']"
473690,"['Action', 'Adventure', 'Indie']"
282860,"['Action', 'Indie', 'RPG', 'Simulation']"
397430,"['Adventure', 'Casual']"
371200,"['Indie', 'RPG', 'Simulation', 'Strategy']"
494840,"['Action', 'Indie', 'RPG', 'Simulation', 'Strategy']"
337340,"['Adventure', 'Indie', 'RPG']"
539330,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']"
24810,"['Action', 'Strategy']"
335670,"['Adventure', 'Indie', 'RPG']"
728540,"['Action', 'Indie', 'Early Access']"
568720,"['Adventure', 'Casual', 'Indie']"
374900,['Adventure']
399670,"['Indie', 'Simulation']"
848450,"['Adventure', 'Indie']"
644830,"['Action', 'RPG']"
600480,"['Casual', 'Indie', 'Simulation', 'Strategy']"
1051310,"['Action', 'Adventure', 'Indie']"
246110,"['Indie', 'Strategy']"
752480,"['Action', 'Adventure']"
319510,"['Indie', 'Simulation']"
234630,"['Racing', 'Simulation', 'Sports']"
545270,['Sports']
960420,"['Action', 'Adventure']"
258050,"['Action', 'Indie', 'Strategy']"
573320,"['Adventure', 'Indie', 'RPG']"
802890,"['Adventure', 'Casual']"
305620,"['Adventure', 'Indie', 'Simulation', 'Strategy']"
579120,"['Action', 'Adventure', 'Indie']"
1044450,"['Casual', 'Indie']"
868360,"['Indie', 'Simulation', 'Strategy']"
497180,"['Racing', 'Simulation']"
266840,[]
261110,['Action']
1005300,"['Casual', 'Indie', 'Strategy']"
7830,['Strategy']
559610,"['Casual', 'Indie']"
654880,"['Casual', 'Indie', 'Simulation']"
1658290,"['Action', 'Adventure', 'Indie', 'RPG']"
505460,"['Action', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy']"
12150,['Action']
1089830,"['Racing', 'Simulation', 'Sports']"
251570,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']"
889770,"['Action', 'Indie']"
718650,"['Indie', 'RPG', 'Simulation', 'Strategy']"
1010750,['Action']
350640,"['Action', 'Adventure']"
1142100,"['Action', 'Sports']"
290690,"['Action', 'Indie']"
586140,['Action']
485380,"['Sexual Content', 'Nudity', 'Violent', 'Gore', 'Indie', 'Simulation']"
1341290,"['Adventure', 'Casual', 'Indie']"
435150,"['Adventure', 'RPG', 'Strategy']"
214730,"['Action', 'Adventure', 'RPG', 'Simulation', 'Strategy']"
1097200,"['Adventure', 'Indie']"
405370,"['Action', 'Adventure', 'Indie', 'RPG']"
698780,"['Casual', 'Free To Play', 'Indie']"
623940,"['Adventure', 'Indie', 'RPG']"
720280,"['Adventure', 'Casual', 'Indie', 'RPG']"
307230,"['Casual', 'Indie', 'Strategy']"
1239020,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Early Access']"
7110,['RPG']
216910,"['Action', 'RPG']"
1163870,"['Action', 'Indie']"
645690,"['Adventure', 'Indie', 'RPG']"
209000,"['Action', 'Adventure']"
96000,"['Adventure', 'Casual', 'Indie']"
283290,"['Action', 'Adventure']"
1805360,"['Action', 'Adventure', 'Casual', 'Massively Multiplayer', 'Racing', 'RPG', 'Sports', 'Strategy']"
310950,['Action']
238280,"['Action', 'Indie', 'RPG']"
378540,"['Action', 'RPG']"
1011190,"['Indie', 'Simulation']"
941460,"['Action', 'Indie', 'RPG', 'Early Access']"
286000,"['Action', 'Casual', 'Indie', 'Strategy']"
1490890,"['Action', 'Adventure']"
56400,['Strategy']
1212830,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']"
899310,"['Action', 'Adventure', 'Indie', 'Strategy']"
611980,"['Casual', 'Indie']"
33230,"['Action', 'Adventure']"
202710,"['Action', 'Indie', 'RPG', 'Strategy']"
914620,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']"
441790,"['Action', 'Indie', 'RPG']"
1360000,"['Action', 'Casual', 'Indie', 'Simulation', 'Early Access']"
493520,['Action']
1368030,"['Action', 'Adventure', 'Indie', 'RPG']"
628070,['Strategy']
667970,"['Action', 'Indie', 'Simulation']"
269650,"['Action', 'Adventure', 'Indie', 'RPG']"
351970,['RPG']
812140,"['Action', 'Adventure', 'RPG']"
252670,"['Adventure', 'Casual', 'Indie']"
496240,"['Action', 'Indie', 'Simulation', 'Strategy']"
689070,"['Adventure', 'Indie', 'RPG']"
1308950,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Sports']"
431730,"['Animation & Modeling', 'Design & Illustration', 'Game Development']"
